               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.072297,            0.025026,                   0,            0.002381,             0.55556,            0.017723,            0.004137,            0.069041,            0.013643,                   0,            0.024907,           0.0019065,           0.0019065
                  39,            0.074354,            0.028647,                   0,           0.0019048,             0.22222,            0.011053,           0.0053946,            0.069041,            0.013643,                   0,              0.0228,           0.0017996,           0.0017996
                  40,            0.081559,             0.02729,                   0,            0.002381,             0.55556,            0.021286,           0.0044296,            0.068974,            0.013438,                   0,            0.020685,           0.0016848,           0.0016848
                  41,            0.062343,             0.01805,                   0,            0.002549,             0.72222,            0.030916,           0.0053808,            0.069727,            0.013238,                   0,            0.018562,           0.0015621,           0.0015621
                  42,             0.07854,             0.03027,                   0,            0.002549,             0.72222,            0.030916,           0.0053808,            0.069727,            0.013238,                   0,            0.016431,           0.0014314,           0.0014314
                  43,            0.087795,            0.023363,                   0,           0.0027451,             0.77778,            0.034068,           0.0082159,            0.068192,            0.013265,                   0,            0.014293,           0.0012928,           0.0012928
                  44,            0.072374,            0.025049,                   0,           0.0027451,             0.77778,            0.034068,           0.0082159,            0.068192,            0.013265,                   0,            0.012146,           0.0011463,           0.0011463
                  45,            0.079833,            0.029175,                   0,           0.0027451,             0.77778,            0.040479,           0.0096465,            0.067129,            0.013239,                   0,           0.0099919,           0.0009919,           0.0009919
                  46,            0.048508,            0.016602,                   0,           0.0027451,             0.77778,            0.040479,           0.0096465,            0.067129,            0.013239,                   0,           0.0078296,          0.00082956,          0.00082956
                  47,            0.066296,            0.016826,                   0,           0.0027451,             0.77778,            0.052352,            0.013205,            0.066439,            0.013216,                   0,           0.0056593,           0.0006593,           0.0006593
                  48,            0.082916,            0.028572,                   0,           0.0027451,             0.77778,            0.052352,            0.013205,            0.066439,            0.013216,                   0,           0.0034811,          0.00048112,          0.00048112
                  49,            0.069435,            0.024068,                   0,           0.0027451,             0.77778,            0.062512,            0.013331,            0.066003,            0.013225,                   0,            0.001295,          0.00029502,          0.00029502
